Kategori_Cyberbullying,Text_Preprocessed,Text_Tweet
Umpatan Kasar & Binatang,lu yg tolol rika ngaca bodoh lu aja bela oshi kayak bela negara,lu yg tolol Rika ngaca bodoh lu juga sama aja bela oshi kayak bela negara
Umpatan Kasar & Binatang,nyata tolol bodoh,Pernyataan tolol dari orang bodoh 
Umpatan Kasar & Binatang,tolol satpam pke ngelindungi lu jg ush sok nasehat lakiny jg seret eh kl mah rmah bsa tnggal ksh minyak sm api,"tolol satpamnya pke ngelindungi, lu jg g ush sok nasehati harusnya lakiny jg diseret. eh kl itu mah d rmah bsa tnggal di ksh minyak sm api"
Umpatan Kasar & Binatang,lu prime time aj ga tau ck ck ck sgl prime time tv fans bencong tolol,Lu prime time aj ga tau artinya ck ck ck sgl prime time tv fans bencong  tolol
Umpatan Kasar & Binatang,bahasa indonesia aja udah berani komen tolol,"Bahasa Indonesia aja belum bisa, udah berani komen tolol."
Umpatan Kasar & Binatang,loh fakta main bijak supporternya tolol ga bedain timnas klub tolol nama,"Loh, padahal fakta. Pemainnya bijak, tapi supporternya TOLOL. Ga bisa bedain mana Timnas mana Klub. Kalau bukan tolol apa dong namanya?"
Umpatan Kasar & Binatang,pln bangsat lampu mati udah jam yg bener napa si ujan uda renti bangke tolol,"Pln bangsat, lampu mati udah setengah jam, kerja yg bener napa si, ujan uda berenti juga, bangke tolol"
Umpatan Kasar & Binatang,tolol kayak lu habis lebaran pinter baek idiot,"Kok ada orang tolol kayak lu, habis lebaran bukannya tambah pinter, baek, malah idiot!"
Umpatan Kasar & Binatang,pantes hamil nikah heran ga cancel culture tolol,"pantes hamil d luar nikah, herannya ga d cancel culture. tolol"
Umpatan Kasar & Binatang,lu tolol banget sih,Kok lu tolol banget sih?
Umpatan Kasar & Binatang,tolol indonesia gandeng usaha usa udah percaya teknologi nuklir udah riset teknologi tinggi udah uji layak dihandle usaha usa banding vietnam otoriter tutup komunis salah pikir,"Tolol, makanya Indonesia gandeng perusahaan USA, karena udah terpercaya diteknologi nuklir, udah riset, punya teknologi tinggi, udah uji kelayakan, & semuanya dihandle perusahaan USA tersebut, kok dibandingkan dengan Vietnam yang otoriter tertutup dan komunis, kesalahan berpikir"
Umpatan Kasar & Binatang,lg kotor neng tolol,Lg kotor neng? Kok tolol?
